,FED PROTES,Noisy PROTES,PROTES,BS-1,BS-2,BS-3,BS-4,BS-5,BS-6,BS-7
P-01,16.86,4.374,2.727,0.04526,0.2531,22.56,23.54,21.02,19.97,67.69
P-02,16.62,3.952,2.555,0.04253,0.04906,25.62,33.12,20.93,19.95,83.13
P-03,16.22,4.12,2.551,0.04238,0.144,21.58,29.67,20.78,19.76,73.06
P-04,16.72,3.974,2.556,0.04352,0.1605,23.51,24.06,20.91,19.82,66.21
P-05,16.35,4.023,2.577,0.04519,0.205,25.78,31.74,21.02,19.96,79.08
P-06,16.33,3.931,2.548,0.04287,0.227,29.93,26.8,20.93,19.95,86.12
P-07,16.18,3.941,2.579,0.04122,0.1074,26.27,35.25,21.1,20.23,97.63
P-08,16.37,3.987,2.566,0.04125,0.09413,22.16,25.24,20.73,19.84,65.88
P-09,16.7,4.064,2.564,0.04315,0.203,22.15,24.87,21.05,19.81,65.78
P-10,16.2,3.991,2.833,0.04131,0.1066,29.71,28.51,20.61,23.39,84.03
P-11,17.29,3.787,2.464,0.06423,0.5023,15.3,21.9,15.76,16.68,75.21
P-12,16.69,3.652,2.378,0.1005,0.707,16.14,30.43,21.38,16.31,71.9
P-13,16.85,3.752,2.369,0.05996,0.3569,18.64,22.15,15.88,18.32,79.38
P-14,25.47,11.54,4.987,0.259,4.248,33.71,70.97,34.58,34.8,113.7
